Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
3,3,1090000,2,2.5,3067,3,2,2,4290,27,,32,-37.8078,144.9965,3,4019
2,3,500000,2,2.5,3067,2,1,1,0,60,1970,32,-37.8015,144.9972,3,4019
2,1,1100000,1,2.5,3067,2,2,1,124,135,2013,32,-37.8079,144.9977,3,4019
2,1,1315000,2,2.5,3067,2,1,0,147,85,1900,32,-37.808,144.994,3,4019
1,3,480000,2,2.5,3067,,,,,,,,,,3,4019
1,3,423500,2,2.5,3067,,,,,,,,,,3,4019
1,3,426000,4,2.5,3067,1,1,1,0,,,32,-37.8016,144.9988,3,4019
3,1,1447500,1,2.5,3067,3,3,1,166,174,2012,32,-37.8017,145.0001,3,4019
1,3,457000,2,2.5,3067,1,1,1,0,50,,32,-37.8078,144.9965,3,4019
2,1,1135000,2,2.5,3067,2,2,2,98,128,1920,32,-37.8005,144.9952,3,4019
2,1,700000,2,2.5,3067,,,,,,,,,,3,4019
4,1,1542000,2,2.5,3067,4,3,1,0,,,32,-37.7994,144.9965,3,4019
3,2,962000,4,2.5,3067,,,,,,,,-37.7972,144.9969,3,4019
3,1,1290000,2,2.5,3067,3,2,2,147,18,,32,-37.805,144.9943,3,4019
3,1,1290000,2,2.5,3067,3,1,1,168,124,1950,32,-37.8007,144.9958,3,4019
1,3,470000,2,2.5,3067,1,1,1,0,50,2013,32,-37.8055,144.9961,3,4019
2,1,1180000,2,2.5,3067,2,1,0,162,91,1900,32,-37.8016,144.9956,3,4019
3,1,1195000,4,2.5,3067,3,2,1,120,128,1998,32,-37.8022,144.9954,3,4019
2,1,1012500,2,2.5,3067,2,1,0,182,82,1900,32,-37.8021,144.9976,3,4019
2,3,970000,4,2.5,3067,,,,,,,,,,3,4019
2,1,1030000,2,2.5,3067,2,1,1,172,81,1930,32,-37.8086,144.9946,3,4019
3,1,927000,2,2.5,3067,,,,,,,,,,3,4019
3,2,840000,1,13.5,3042,3,2,1,303,225,2016,22,-37.718,144.878,7,3464
3,1,730000,5,13.5,3042,3,2,1,0,145,1965,22,-37.7203,144.8755,7,3464
3,1,770000,4,13.5,3042,3,2,1,0,145,1965,22,-37.7203,144.8755,7,3464
2,1,603000,2,13.5,3042,2,1,1,272,84,1950,22,-37.7294,144.888,7,3464
3,2,700000,2,13.5,3042,3,2,2,239,134,2009,22,-37.7218,144.8837,7,3464
3,1,600000,2,13.5,3042,2,1,1,290,116,1980,22,-37.7273,144.8744,7,3464
2,3,500000,5,13.5,3042,2,1,1,168,86,2011,22,-37.7215,144.8864,7,3464
2,2,420000,5,13.5,3042,,,,,,,,,,7,3464
3,2,500000,5,13.5,3042,,,,,,,,,,7,3464
5,1,1035000,2,13.5,3042,,,,,,,,,,7,3464
4,1,960000,2,13.5,3042,,,,,,,,,,7,3464
4,1,960000,2,13.5,3042,,,,,,,,,,7,3464
3,1,720000,2,13.5,3042,2,1,1,620,,,22,-37.7173,144.8872,7,3464
4,1,785000,2,13.5,3042,3,1,2,597,127,,22,-37.7259,144.8792,7,3464
6,1,725000,4,13.5,3042,6,3,2,976,186,1980,22,-37.7239,144.8735,7,3464
2,2,450000,2,13.5,3042,2,1,1,110,90,2015,22,-37.7216,144.871,7,3464
2,3,515000,2,13.5,3042,2,1,1,141,73,2013,22,-37.7298,144.8883,7,3464
3,1,680000,5,13.5,3042,,,,,,,,,,7,3464
2,3,530000,2,13.5,3042,2,1,1,120,94,2012,22,-37.7234,144.8792,7,3464
3,1,895000,1,13.5,3042,3,1,6,1063,133,1975,22,-37.7249,144.8728,7,3464
3,3,600000,5,13.5,3042,,,,,,,,,,7,3464
3,1,805000,2,13.5,3042,3,1,1,0,105,1950,22,-37.7217,144.8783,7,3464
3,2,760000,1,13.5,3042,,,,,,,,,,7,3464
3,3,752000,2,13.5,3042,3,1,1,265,130,1993,22,-37.7302,144.8855,7,3464
3,3,580000,5,13.5,3042,,,,,,,,,,7,3464
3,1,725000,1,13.5,3042,,,,,,,,,,7,3464
4,1,758000,2,13.5,3042,,,,,,,,,,7,3464
2,3,440000,2,13.5,3042,2,1,1,192,,,22,-37.7177,144.8787,7,3464
3,1,970000,2,13.5,3042,,,,,,,,,,7,3464
5,1,755000,1,13.5,3042,3,2,2,596,,,22,-37.7248,144.8699,7,3464
4,1,985000,2,13.5,3042,,,,,,,,,,7,3464
3,2,700000,1,13.5,3042,3,2,2,165,133,2009,22,-37.727,144.887,7,3464
2,3,509500,4,13.5,3042,,,,,,,,,,7,3464
3,1,830000,2,13.5,3042,3,1,2,971,113,1960,22,-37.7186,144.876,7,3464
2,3,462500,2,13.5,3042,2,1,1,164,,2003,22,-37.7218,144.8863,7,3464
3,1,670000,4,13.5,3042,3,2,2,657,,,22,-37.7269,144.8742,7,3464
2,1,675000,2,13.5,3042,2,1,1,612,100,1975,22,-37.7187,144.8765,7,3464
3,1,1042000,2,13.5,3042,3,2,5,612,174,1950,22,-37.7173,144.8796,7,3464
3,1,910000,2,13.5,3042,3,1,1,775,,,22,-37.7231,144.8835,7,3464
4,1,773000,2,13.5,3042,5,3,4,531,309,1980,22,-37.7263,144.8679,7,3464
3,1,715000,2,13.5,3042,,,,,,,,,,7,3464
3,1,810000,1,13.5,3042,3,3,2,555,192,1980,22,-37.7285,144.8694,7,3464
3,1,715000,2,13.5,3042,3,2,2,422,126,1995,22,-37.7164,144.8792,7,3464
3,1,790000,2,13.5,3042,3,1,3,614,,,22,-37.7194,144.8827,7,3464
2,2,460000,5,13.5,3042,,,,,,,,,,7,3464
3,2,540000,4,13.5,3042,2,2,1,161,101,2010,22,-37.7231,144.8802,7,3464
3,2,825000,4,13.5,3042,3,2,1,293,102,1960,22,-37.72,144.8776,7,3464
3,1,685000,2,13.5,3042,3,1,1,579,113,1975,22,-37.7226,144.8733,7,3464
3,3,445000,2,13.5,3042,,,,,,,,,,7,3464
3,1,805000,2,13.5,3042,3,1,1,623,,,22,-37.7184,144.882,7,3464
2,3,510000,2,13.5,3042,2,1,1,141,76,,22,-37.7202,144.8797,7,3464
3,1,612000,2,13.5,3042,3,2,1,212,,,22,-37.7181,144.8824,7,3464
3,1,662000,2,13.5,3042,3,1,2,612,,,22,-37.7169,144.8815,7,3464
4,1,978000,2,13.5,3042,4,3,2,532,,,22,-37.7263,144.869,7,3464
3,1,720000,1,13.5,3042,3,1,1,585,,,22,-37.72,144.878,7,3464
2,3,474000,1,13.5,3042,,,,,,,,,,7,3464
2,2,490000,4,13.5,3042,,,,,,,,,,7,3464
3,1,405000,2,13.5,3042,,,,,,,,,,7,3464
3,2,715000,2,13.5,3042,,,,,,,,,,7,3464
3,3,671500,2,13.5,3042,,,,,,,,,,7,3464
4,1,765000,2,13.5,3042,4,1,2,509,,,22,-37.7261,144.8785,7,3464
4,1,900000,2,13.5,3042,4,2,3,628,146,1975,22,-37.7256,144.8739,7,3464
3,3,820000,2,13.5,3042,,,,,,,,,,7,3464
3,3,650000,1,13.5,3042,,,,,,,,,,7,3464
3,2,552000,4,13.5,3042,,,,,,,,,,7,3464
2,1,1275000,2,3.3,3206,2,1,0,120,82,1900,26,-37.8459,144.9555,6,3280
2,1,1455000,2,3.3,3206,2,1,0,159,,,26,-37.845,144.9538,6,3280
3,1,2850000,1,3.3,3206,3,2,0,211,198,1890,26,-37.8481,144.9499,6,3280
3,1,1850000,2,3.3,3206,3,2,0,128,133,1890,26,-37.8452,144.9488,6,3280
2,1,1436000,2,3.3,3206,2,1,0,130,81,1900,26,-37.8431,144.9565,6,3280
2,1,1110000,2,3.3,3206,1,1,0,147,,1900,26,-37.8444,144.9484,6,3280
2,1,1550000,2,3.3,3206,2,1,1,167,,,26,-37.8405,144.9521,6,3280
4,1,2300000,2,3.3,3206,4,2,1,153,180,1880,26,-37.8447,144.9523,6,3280
3,2,1550000,5,3.3,3206,3,2,2,718,,,26,-37.8443,144.9598,6,3280
3,1,1800000,5,3.3,3206,3,2,1,132,159,1996,26,-37.8415,144.952,6,3280
3,1,2485000,2,3.3,3206,,,,,,,,,,6,3280
2,1,2120000,2,3.3,3206,2,1,1,199,107,1900,26,-37.8422,144.9554,6,3280
3,1,1800000,5,3.3,3206,3,1,1,253,,,26,-37.8443,144.9579,6,3280
3,1,1800000,2,3.3,3206,3,2,1,90,122,1900,26,-37.8421,144.9571,6,3280
2,1,1810000,1,3.3,3206,2,1,0,240,,,26,-37.8379,144.9539,6,3280
3,1,2615000,2,3.3,3206,3,2,1,177,181,1880,26,-37.8415,144.9585,6,3280
5,1,2100000,2,3.3,3206,5,2,1,237,,,26,-37.8436,144.9557,6,3280
3,1,1300000,2,3.3,3206,3,1,0,129,,,26,-37.8422,144.949,6,3280
3,1,1370000,2,3.3,3206,3,2,2,0,85,2000,26,-37.8451,144.9511,6,3280
2,1,1000000,2,3.3,3206,2,1,0,288,,,26,-37.8407,144.9523,6,3280
3,1,2575000,2,3.3,3206,3,2,1,228,,,26,-37.8445,144.9501,6,3280
2,1,1322500,2,3.3,3206,2,1,0,149,98,1890,26,-37.8443,144.9481,6,3280
2,1,1562500,2,3.3,3206,2,1,0,141,83,1890,26,-37.8424,144.9562,6,3280
3,1,2000000,5,3.3,3206,3,2,1,211,147,1900,26,-37.847,144.9575,6,3280
3,1,1900000,2,3.3,3206,3,1,0,209,,1900,26,-37.8468,144.9546,6,3280
3,1,3010000,2,3.3,3206,3,2,0,147,146,1890,26,-37.8473,144.9551,6,3280
4,1,2800000,5,3.3,3206,4,3,1,327,254,1910,26,-37.8467,144.9475,6,3280
2,3,647000,2,3.3,3206,2,1,1,0,,,26,-37.846,144.9542,6,3280
3,1,2100000,4,3.3,3206,2,1,1,120,123,1900,26,-37.8427,144.9546,6,3280
3,1,2000000,1,3.3,3206,3,1,1,238,131,1890,26,-37.8461,144.9528,6,3280
1,3,442500,2,3.3,3206,1,1,0,0,34,1970,26,-37.8421,144.9517,6,3280
4,1,4735000,2,3.3,3206,4,2,1,330,207,1910,26,-37.8477,144.9558,6,3280
2,1,1340000,2,3.3,3206,2,1,0,136,,,26,-37.846,144.9517,6,3280
3,1,1801000,2,3.3,3206,3,1,1,202,,,26,-37.8429,144.9493,6,3280
3,1,1532000,2,3.3,3206,3,3,1,0,,,26,-37.8415,144.9585,6,3280
3,1,3755000,2,3.3,3206,3,2,2,325,,,26,-37.8413,144.95,6,3280
4,1,2140000,2,3.3,3206,3,2,1,183,145,1880,26,-37.8434,144.9495,6,3280
2,3,1810000,1,3.3,3206,,,,,,,,,,6,3280
2,1,1750000,2,3.3,3206,2,1,1,162,,,26,-37.8416,144.9488,6,3280
2,1,980000,2,3.3,3206,2,1,0,79,68,1890,26,-37.8387,144.9519,6,3280
3,1,2030000,2,3.3,3206,3,2,0,152,,,26,-37.8488,144.9551,6,3280
3,1,1740000,1,3.3,3206,3,2,2,147,134,1890,26,-37.8448,144.9453,6,3280
3,1,2800000,5,3.3,3206,3,3,1,0,,,26,-37.8399,144.9577,6,3280
1,1,985000,2,3.3,3206,1,1,0,81,54,1900,26,-37.8411,144.9497,6,3280
4,1,2000000,2,6.4,3078,3,2,4,853,263,1930,7,-37.7707,145.0318,3,2211
3,1,1110000,2,6.4,3078,3,2,2,208,,2013,32,-37.7854,145.0325,3,2211
3,1,1492000,2,6.4,3078,3,2,2,411,,,7,-37.7713,145.0279,3,2211
2,3,480000,1,6.4,3078,,,,,,,,,,3,2211
3,2,1304000,4,6.4,3078,,,,,,,,,,3,2211
4,1,1717500,2,6.4,3078,4,2,1,599,203,1925,7,-37.7717,145.031,3,2211
5,1,2840000,2,6.4,3078,5,4,4,809,165,1910,7,-37.775,145.0268,3,2211
2,3,525500,2,6.4,3078,2,1,1,88,60,1960,7,-37.7791,145.0306,3,2211
2,2,805000,2,6.4,3078,2,2,3,155,140,2004,7,-37.7804,145.0308,3,2211
2,3,465000,2,6.4,3078,2,1,1,0,,,7,-37.7773,145.0314,3,2211
3,1,1480000,2,6.4,3078,,,,,,,,,,3,2211
3,1,2000000,1,6.4,3078,3,3,2,686,,,7,-37.78,145.0341,3,2211
3,1,1540000,2,6.4,3078,3,1,2,592,,,7,-37.7755,145.0288,3,2211
2,3,590000,1,6.4,3078,,,,,,,,,,3,2211
2,3,820000,2,6.4,3078,2,1,1,183,,,7,-37.7747,145.0264,3,2211
4,1,1830000,2,6.4,3078,4,2,2,606,112,1970,7,-37.7743,145.0316,3,2211
4,1,2100000,2,6.4,3078,4,2,2,575,271,2008,7,-37.7723,145.0319,3,2211
3,1,865000,4,6.4,3078,3,1,1,180,131,2010,7,-37.7802,145.0243,3,2211
2,3,390000,5,6.4,3078,2,1,1,0,60,1960,7,-37.7773,145.0314,3,2211
2,2,650000,4,6.4,3078,0,1,0,0,,,32,-37.7848,145.025,3,2211
2,3,512000,2,6.4,3078,2,1,1,0,61,1965,7,-37.7805,145.0262,3,2211
3,1,1361000,2,6.4,3078,,,,,,,,-37.7796,145.0285,3,2211
3,1,1310000,2,6.4,3078,,,,,,,,,,3,2211
3,1,570000,5,6.4,3078,,,,,,,,,,3,2211
3,1,1165000,2,6.4,3078,3,1,2,979,,,32,-37.7792,145.029,3,2211
2,3,530000,2,6.4,3078,,,,,,,,,,3,2211
4,1,1900000,4,6.4,3078,4,2,2,556,272,1930,32,-37.7844,145.0225,3,2211
3,1,1485000,4,6.4,3078,3,0,0,597,,,7,-37.7781,145.0284,3,2211
4,1,1950000,2,6.4,3078,4,2,3,589,210,1920,7,-37.7719,145.0309,3,2211
3,1,520000,5,13.8,3018,3,2,1,352,242,2015,11,-37.87,144.825,7,5301
5,1,1525000,2,13.8,3018,5,3,3,729,268,2005,11,-37.8721,144.8105,7,5301
2,2,720000,2,13.8,3018,2,1,2,292,125,2013,11,-37.8687,144.8197,7,5301
3,1,1120000,2,13.8,3018,3,1,2,506,120,1930,11,-37.8693,144.8375,7,5301
4,1,780000,1,13.8,3018,4,1,4,655,,,11,-37.868,144.8154,7,5301
4,1,1780000,4,13.8,3018,4,3,6,1057,220,1962,11,-37.8681,144.819,7,5301
3,3,630000,2,13.8,3018,2,1,2,311,94,1955,11,-37.8702,144.8143,7,5301
2,3,406000,4,13.8,3018,2,1,1,65,,,11,-37.8693,144.8171,7,5301
3,1,660000,5,13.8,3018,3,1,1,602,123,1955,11,-37.8616,144.8116,7,5301
3,1,683500,2,13.8,3018,3,1,1,530,,,11,-37.8594,144.817,7,5301
2,3,540000,5,13.8,3018,,,,,,,,,,7,5301
2,3,580000,2,13.8,3018,2,1,1,225,93,1988,11,-37.8696,144.827,7,5301
3,1,1335000,2,13.8,3018,3,1,4,777,22,1953,11,-37.8697,144.8249,7,5301
3,2,800000,4,13.8,3018,3,2,2,280,,1997,11,-37.8734,144.8143,7,5301
2,3,510000,2,13.8,3018,2,1,1,127,76,1990,11,-37.8686,144.8182,7,5301
4,1,1070000,2,13.8,3018,4,2,2,695,,,11,-37.8733,144.8147,7,5301
2,3,425000,2,13.8,3018,2,1,2,115,57,1980,11,-37.871,144.8185,7,5301
3,3,605000,2,13.8,3018,3,2,2,230,,,11,-37.8646,144.827,7,5301
3,2,705000,2,13.8,3018,3,2,2,197,152,,11,-37.8579,144.8181,7,5301
2,3,391000,4,13.8,3018,2,1,1,0,65,1965,11,-37.8678,144.8384,7,5301
2,3,440000,4,13.8,3018,2,1,1,0,,,11,-37.8659,144.831,7,5301
4,1,845000,2,13.8,3018,4,1,2,745,130,1950,11,-37.8658,144.8155,7,5301
3,1,766000,2,13.8,3018,,,,,,,,,,7,5301
3,2,743000,4,13.8,3018,3,2,2,211,176,,11,-37.8698,144.816,7,5301
3,2,650000,4,13.8,3018,,,,,,,,,,7,5301
3,3,730000,4,13.8,3018,3,2,1,69,141,2014,11,-37.868,144.8286,7,5301
3,2,916500,2,13.8,3018,,,,,,,,,,7,5301
3,1,635000,2,13.8,3018,3,1,4,625,,1960,11,-37.8611,144.8114,7,5301
2,3,620000,4,13.8,3018,2,1,1,168,,,11,-37.8676,144.8202,7,5301
2,3,447000,2,13.8,3018,2,1,1,137,77,1990,11,-37.8655,144.8299,7,5301
3,3,730000,4,13.8,3018,3,2,1,70,,,11,-37.868,144.8287,7,5301
3,1,678000,2,13.8,3018,3,1,2,606,87,1950,11,-37.8608,144.8124,7,5301
2,3,580000,1,13.8,3018,2,2,1,175,76,2013,11,-37.8687,144.8268,7,5301
3,1,712000,2,13.8,3018,3,1,2,363,,,11,-37.8674,144.8375,7,5301
3,1,840000,4,13.8,3018,3,2,2,534,136,1965,11,-37.86,144.8245,7,5301
3,1,980000,2,13.8,3018,3,1,2,724,,,11,-37.8672,144.817,7,5301
4,1,1000000,2,13.8,3018,,,,,,,,,,7,5301
3,2,605100,2,13.8,3018,3,2,0,265,,,11,-37.8583,144.8172,7,5301
3,1,880000,1,13.8,3018,3,3,1,577,,,11,-37.8699,144.8235,7,5301
3,3,577000,2,13.8,3018,3,2,1,205,113,2007,11,-37.8684,144.815,7,5301
4,1,1030000,2,13.8,3018,4,1,0,797,,,11,-37.8663,144.8387,7,5301
3,3,605000,2,13.8,3018,3,1,2,181,,,11,-37.8659,144.822,7,5301
3,1,685000,2,13.8,3018,,,,,,,,,,7,5301
3,1,753000,2,13.8,3018,3,2,2,529,,,11,-37.8612,144.8247,7,5301
2,1,857000,4,13.8,3018,2,2,1,675,100,1950,11,-37.8653,144.8129,7,5301
3,1,1500000,2,13.8,3018,3,1,1,929,,,11,-37.8651,144.832,7,5301
3,3,730000,4,13.8,3018,3,2,1,70,3,2014,11,-37.868,144.8285,7,5301
3,1,900000,2,13.8,3018,3,1,4,697,,,11,-37.871,144.8075,7,5301
3,1,740000,2,13.8,3018,3,1,2,604,,,11,-37.8631,144.8195,7,5301
4,1,931000,2,13.8,3018,4,2,3,532,,1970,11,-37.8637,144.8365,7,5301
2,1,535600,4,13.8,3018,2,1,1,154,91,1996,11,-37.8646,144.8272,7,5301
5,1,1085000,2,11.1,3025,5,3,6,592,251,1965,11,-37.8388,144.8567,7,5132
3,1,781000,2,11.1,3025,3,1,2,533,117,1970,11,-37.8291,144.835,7,5132
4,1,857500,2,11.1,3025,,,,,,,,,,7,5132
4,1,960000,2,11.1,3025,,,,,,,,,,7,5132
3,1,750000,4,11.1,3025,3,1,3,554,,,11,-37.8449,144.85,7,5132
2,2,421000,2,11.1,3025,2,1,1,77,77,2009,11,-37.8351,144.8529,7,5132
3,1,1405000,2,11.1,3025,3,1,3,655,,,11,-37.8338,144.8562,7,5132
3,1,683000,2,11.1,3025,3,1,2,534,167,1967,11,-37.8284,144.8355,7,5132
3,1,623000,2,11.1,3025,3,1,3,540,,,11,-37.8267,144.8368,7,5132
3,1,720000,5,11.1,3025,3,2,1,0,130,2012,11,-37.8379,144.8583,7,5132
4,2,780000,2,11.1,3025,,,,,,,,,,7,5132
3,3,720000,2,11.1,3025,,,,,,,,,,7,5132
3,1,705000,4,11.1,3025,,,,,,,,,,7,5132
3,1,588000,2,11.1,3025,3,1,1,328,118,1970,11,-37.838,144.8555,7,5132
4,1,720000,5,11.1,3025,,,,,,,,,,7,5132
3,1,710000,1,11.1,3025,3,1,3,540,116,1960,11,-37.8294,144.8378,7,5132
2,1,550000,4,11.1,3025,,,,,,,,,,7,5132
3,3,640000,5,11.1,3025,,,,,,,,,,7,5132
3,1,537500,4,11.1,3025,,,,,,,,,,7,5132
4,1,875000,4,11.1,3025,3,1,4,559,169,1965,11,-37.8448,144.8529,7,5132
3,1,800000,2,11.1,3025,,,,,,,,,,7,5132
3,2,713500,2,11.1,3025,,,,,,,,,,7,5132
3,1,700000,5,11.1,3025,3,1,3,554,,,11,-37.8449,144.85,7,5132
2,1,551000,4,11.1,3025,,,,,,,,,,7,5132
3,1,685000,4,11.1,3025,,,,,,,,,,7,5132
2,2,640000,2,11.1,3025,2,1,1,252,,1965,11,-37.8397,144.8602,7,5132
4,1,650000,4,11.1,3025,4,1,4,558,,,11,-37.8451,144.8529,7,5132
3,1,925000,4,11.1,3025,,,,,,,,,,7,5132
3,2,670000,5,11.1,3025,,,,,,,,,,7,5132
3,1,680000,4,11.1,3025,,,,,,,,,,7,5132
3,1,765000,2,11.1,3025,,,,,,,,,,7,5132
3,1,675000,2,11.1,3025,3,2,2,171,109,2012,11,-37.8337,144.8554,7,5132
3,1,708000,2,11.1,3025,3,1,2,585,97,1960,11,-37.8258,144.8523,7,5132
3,2,656000,4,11.1,3025,,,,,,,,,,7,5132
4,1,883000,2,11.1,3025,,,,,,,,,,7,5132
4,1,965000,4,11.1,3025,4,1,4,851,,,11,-37.8345,144.8444,7,5132
3,1,870000,2,11.1,3025,,,,,,,,,,7,5132
3,1,681000,1,11.1,3025,,,,,,,,,,7,5132
2,1,522500,3,11.1,3025,,,,,,,,,,7,5132
5,1,972000,2,11.1,3025,,,,,,,,,,7,5132
3,2,590000,1,11.1,3025,,,,,,,,,,7,5132
2,1,450000,1,11.1,3025,,,,,,,,,,7,5132
3,1,765000,2,11.1,3025,,,,,,,,,,7,5132
3,1,750000,5,11.1,3025,,,,,,,,,,7,5132
3,1,680000,2,11.1,3025,3,1,3,551,,,11,-37.8254,144.8514,7,5132
2,2,510000,4,11.1,3025,,,,,,,,,,7,5132
3,1,770000,4,11.1,3025,3,1,3,602,603,,11,-37.8327,144.8451,7,5132
3,1,923000,2,11.1,3025,3,1,2,740,,,11,-37.8269,144.8455,7,5132
4,1,693000,4,11.1,3025,4,2,4,315,170,2008,11,-37.8391,144.8467,7,5132
3,1,620000,4,11.1,3025,5,2,2,276,100,2010,11,-37.8262,144.8443,7,5132
3,1,800000,2,11.1,3025,,,,,,,,,,7,5132
3,1,728500,2,11.1,3025,3,1,1,531,157,1960,11,-37.8277,144.8385,7,5132
3,1,931000,2,11.1,3025,3,2,1,590,160,1950,11,-37.8382,144.8649,7,5132
3,1,988000,2,11.1,3025,3,1,4,715,,2008,11,-37.8423,144.8632,7,5132
3,1,590000,4,11.1,3025,,,,,,,,,,7,5132
3,1,590000,2,11.1,3025,3,1,2,561,,,11,-37.8444,144.8491,7,5132
2,1,610000,2,11.1,3025,2,1,2,691,,,11,-37.834,144.8553,7,5132
3,1,815000,2,11.1,3025,3,2,3,555,130,1960,11,-37.8318,144.8388,7,5132
4,1,970000,2,11.1,3025,4,1,2,708,,,11,-37.833,144.8494,7,5132
4,1,840000,2,11.1,3025,,,,,,,,,,7,5132
3,1,840000,2,11.1,3025,,,,,,,,,,7,5132
4,1,760000,2,11.1,3025,4,1,3,668,,,11,-37.8262,144.8439,7,5132
3,1,852500,2,11.1,3025,,,,,,,,,,7,5132
4,2,847500,2,11.1,3025,4,3,1,252,,,11,-37.8393,144.8568,7,5132
4,1,1200000,4,11.1,3025,4,1,4,633,158,1960,11,-37.8375,144.8541,7,5132
3,1,630000,2,11.1,3025,,,,,,,,,,7,5132
3,1,700000,4,11.1,3025,3,1,1,557,,,11,-37.8441,144.8505,7,5132
3,1,625000,1,11.1,3025,3,1,1,536,,,11,-37.8285,144.8351,7,5132
2,3,292000,2,11.1,3025,2,1,1,153,70,1970,11,-37.8332,144.8649,7,5132
3,2,640000,1,11.1,3025,,,,,,,,,,7,5132
3,1,800000,4,11.1,3025,,,,,,,,,,7,5132
2,3,599000,2,6.3,3143,2,1,1,0,76,1964,27,-37.8543,145.0262,6,4836
2,3,550000,5,6.3,3143,2,1,0,861,,,27,-37.8539,145.0284,6,4836
3,3,995000,2,6.3,3143,3,2,2,0,100,1998,27,-37.8552,145.016,6,4836
3,2,1205000,2,6.3,3143,3,2,2,101,105,2000,27,-37.854,145.0135,6,4836
3,1,2675000,2,6.3,3143,,,,,,,,,,6,4836
3,1,1939000,2,6.3,3143,3,2,2,296,150,1889,27,-37.8614,145.0274,6,4836
1,3,421500,2,6.3,3143,1,1,0,0,,,27,-37.853,145.0167,6,4836
2,3,585000,4,6.3,3143,,,,,,,,,,6,4836
3,1,2050000,2,6.3,3143,,,,,,,,,,6,4836
3,1,1870000,2,6.3,3143,3,1,1,217,116,1888,27,-37.8592,145.0182,6,4836
2,3,678000,2,6.3,3143,2,1,2,0,,,27,-37.8538,145.0127,6,4836
3,2,1918000,4,6.3,3143,3,2,2,0,165,1995,27,-37.8537,145.0267,6,4836
2,3,660000,4,6.3,3143,2,1,1,0,,,27,-37.8619,145.0257,6,4836
3,1,2050000,2,6.3,3143,3,2,1,205,116,1910,27,-37.8574,145.0281,6,4836
2,3,700000,5,6.3,3143,2,1,2,0,,,27,-37.8552,145.016,6,4836
2,3,3625000,2,6.3,3143,3,2,2,0,,2006,27,-37.8555,145.0291,6,4836
4,1,3000000,5,6.3,3143,4,2,2,1581,,1934,27,-37.858,145.0111,6,4836
2,1,1930000,2,6.3,3143,,,,,,,,,,6,4836
5,1,1525000,1,6.3,3143,8,2,2,693,,,27,-37.8638,145.0229,6,4836
3,3,735000,1,6.3,3143,3,2,1,2113,14,1970,27,-37.8543,145.0262,6,4836
